Area,Area_glatt,Datum,Volume,WD,WD_calc_smooth,Vol_calc
,,2016-11-08,602.2596587586103,1.4978333333333331,,
,,2016-11-09,558.4858433100005,1.463,,
,,2016-11-10,549.6948622344441,1.4556666666666669,,
,,2016-11-11,516.1923952274999,1.4265,,
,,2016-11-12,468.67503328965284,1.3810833333333337,,
,,2016-11-13,442.7318917544442,1.3536666666666666,,
,,2016-11-14,411.73379927631936,1.3175833333333329,,
,,2016-11-15,413.9023027118748,1.32025,,
,,2016-11-16,429.84569479861085,1.3391666666666666,,
,,2016-11-17,431.0065288474996,1.3404999999999996,,
,,2016-11-18,444.25005827111113,1.3553333333333335,,
,,2016-11-19,459.93117057465247,1.372083333333333,,
,,2016-11-20,467.6107559999994,1.38,,
,,2016-11-21,492.1182449652777,1.4041666666666668,,
,,2016-11-22,496.77053029798594,1.4085833333333333,,
,,2016-11-23,495.27245262527765,1.407166666666667,,
,,2016-11-24,466.305300337777,1.3786666666666665,,
,,2016-11-25,414.993877042986,1.321583333333333,,
,,2016-11-26,373.128842236875,1.2652500000000002,,
,,2016-11-27,337.62264513187506,1.2042499999999998,,
,,2016-11-28,304.7262181874998,1.1175,,
,,2016-11-29,292.4912253479863,1.0305833333333334,,
,,2016-11-30,293.06882846527765,1.0008333333333332,,
,,2016-12-01,298.82409142298593,0.9544166666666666,,
,,2016-12-02,316.22029857298617,0.8910833333333333,,
,,2016-12-03,354.8619253475002,0.8095000000000002,,
,,2016-12-04,402.91007375965296,0.7390833333333333,,
,,2016-12-05,887.7146167968751,1.68125,,
,,2016-12-06,398.4322062177773,1.3006666666666666,,
,,2016-12-07,383.013127087778,1.2796666666666665,,
,,2016-12-08,385.7373705274997,1.2835,,
,,2016-12-09,527.2264920211112,1.4363333333333337,,
,,2016-12-10,919.9323934586116,1.6988333333333336,,
,,2016-12-11,1137.1594619586106,1.8071666666666664,,
,,2016-12-12,1124.1072981896525,1.8010833333333334,,
,,2016-12-13,905.780446691944,1.6911666666666667,,
,,2016-12-14,826.1113189218747,1.6462500000000002,,
,,2016-12-15,690.5078077968749,1.56125,,
,,2016-12-16,386.15546666798605,1.2840833333333332,,
,,2016-12-17,296.35391896527767,0.9691666666666666,,
,,2016-12-18,331.5962368252778,0.8538333333333333,,
,,2016-12-19,293.56662960527774,1.0518333333333332,,
,,2016-12-20,352.6519289118753,1.2322500000000003,,
,,2016-12-21,391.9836352413192,1.2920833333333337,,
,,2016-12-22,370.16044990687516,1.26075,,
,,2016-12-23,332.9338847413194,1.194583333333333,,
,,2016-12-24,350.37308133187463,1.2282499999999998,,
,,2016-12-25,436.14257642111056,1.3463333333333332,,
,,2016-12-26,507.2303138611112,1.4183333333333337,,
,,2016-12-27,556.07365779,1.4609999999999999,,
,,2016-12-28,549.3977726579867,1.4554166666666668,,
,,2016-12-29,567.7318268813193,1.4705833333333338,,
,,2016-12-30,482.88912858687513,1.39525,,
,,2016-12-31,400.15607494965235,1.3029166666666665,,
,,2017-01-01,349.15705023131915,1.2260833333333334,,
,,2017-01-02,312.279142472986,1.1430833333333337,,
,,2017-01-03,321.32964807465265,1.1679166666666665,,
,,2017-01-04,365.1785669099997,1.253,,
,,2017-01-05,426.4639768868754,1.3352500000000005,,
,,2017-01-06,378.314172699653,1.2729166666666667,,
,,2017-01-07,411.32937878298594,1.3170833333333334,,
,,2017-01-08,487.00229080687467,1.39925,,
,,2017-01-09,513.7968513011112,1.4243333333333337,,
,,2017-01-10,639.6316219677776,1.525666666666667,,
,,2017-01-11,614.0005268568742,1.5067499999999996,,
,,2017-01-12,705.6824728646527,1.571416666666667,,
,,2017-01-13,928.4698840846527,1.7034166666666668,,
,,2017-01-14,915.1457726718747,1.69625,,
,,2017-01-15,868.5839112146521,1.670583333333333,,
,,2017-01-16,914.8375877146519,1.6960833333333332,,
,,2017-01-17,928.1584192068756,1.7032500000000004,,
,,2017-01-18,907.4640319079857,1.6920833333333334,,
,,2017-01-19,888.7698375052768,1.6818333333333328,,
,,2017-01-20,894.9691801368751,1.68525,,
,,2017-01-21,885.7574002052772,1.6801666666666666,,
,,2017-01-22,857.0793403013201,1.6640833333333338,,
,,2017-01-23,858.6947527499996,1.665,,
,,2017-01-24,859.8710474344441,1.6656666666666666,,
,,2017-01-25,772.3260380399995,1.614,,
,,2017-01-26,749.7343230346526,1.5999166666666669,,
,,2017-01-27,712.2366324318753,1.57575,,
,,2017-01-28,729.7512028252769,1.5871666666666666,,
,,2017-01-29,748.150886856319,1.5989166666666668,,
,,2017-01-30,782.389720405278,1.6201666666666668,,
,,2017-01-31,902.8778706163188,1.6895833333333332,,
,,2017-02-01,1048.267877386875,1.7647500000000005,,
,,2017-02-02,1263.2385033544444,1.8636666666666668,,
,,2017-02-03,1689.9120871944465,2.0316666666666667,,
,,2017-02-04,2174.2115398274977,2.1935,,
,,2017-02-05,2526.024662781873,2.29825,,
,,2017-02-06,2939.329666546877,2.4112500000000003,,
,,2017-02-07,3108.763904749999,2.455,,
,,2017-02-08,3505.268853687497,2.5525,,
,,2017-02-09,3712.5879475229854,2.601083333333333,,
,,2017-02-10,4108.044251105276,2.689833333333333,,
,,2017-02-11,4450.727532572987,2.763083333333334,,
,,2017-02-12,4649.783309131876,2.80425,,
,,2017-02-13,5026.522044421112,2.879666666666667,,
,,2017-02-14,5167.351039532983,2.907083333333333,,
,,2017-02-15,5318.997176391942,2.9361666666666664,,
,,2017-02-16,5703.048879407986,3.0079166666666666,,
,,2017-02-17,6280.038980472983,3.111083333333333,,
,,2017-02-18,6584.391646927501,3.1635000000000004,,
,,2017-02-19,6944.051606125277,3.2238333333333333,,
,,2017-02-20,7344.271580509656,3.2890833333333336,,
,,2017-02-21,7833.7455629229835,3.3664166666666664,,
,,2017-02-22,8339.64172617187,3.44375,,
,,2017-02-23,9131.019264,3.56,,
,,2017-02-24,9925.532945959658,3.671583333333334,,
,,2017-02-25,9771.589693221113,3.6503333333333337,,
,,2017-02-26,10338.396177111876,3.72775,,
,,2017-02-27,11007.788315172984,3.8164166666666666,,
